当前时间: 2023-10-24,,,,,
活动,剩余天数,开始,结束,游戏天数(开始),游戏天数(结束)
社团丹道跨服[2],1天,2023-10-24,2023-10-25,2108,2109
虚天殿跨服[2],2天,2023-10-25,2023-10-26,2109,2110
瑶池花会跨服[2],3天,2023-10-26,2023-10-27,2110,2111
天地弈局预赛,3天,2023-10-27,2023-10-27,2111,2111
天地弈局跨服[4],4天,2023-10-28,2023-10-28,2112,2112
灵宠竞武跨服[2],5天,2023-10-28,2023-10-29,2112,2113
社团大比跨服[4],5天,2023-10-29,2023-10-29,2113,2113
云梦试剑跨服[4],6天,2023-10-30,2023-10-30,2114,2114
社团炼体跨服[4],7天,2023-10-30,2023-10-31,2114,2115
洗灵证武预赛,8天,2023-10-31,2023-11-01,2115,2116
魔道入侵预赛,7天,2023-10-31,2023-10-31,2115,2115
魔道入侵跨服[2],8天,2023-11-01,2023-11-01,2116,2116
瑶池花会预赛,9天,2023-11-02,2023-11-02,2117,2117
虚天殿跨服[4],10天,2023-11-02,2023-11-03,2117,2118
瑶池花会跨服[4],11天,2023-11-03,2023-11-04,2118,2119
珍珑游宴跨服[4],13天,2023-11-04,2023-11-06,2119,2121
兽渊探秘跨服[2],12天,2023-11-04,2023-11-05,2119,2120
丹道问鼎跨服[2],13天,2023-11-05,2023-11-06,2120,2121
仙盟争霸跨服[8],14天,2023-11-06,2023-11-07,2121,2122
灵宠竞武预赛,14天,2023-11-07,2023-11-07,2122,2122
灵宠竞武跨服[8],16天,2023-11-08,2023-11-09,2123,2124
云梦试剑跨服[2],15天,2023-11-08,2023-11-08,2123,2123
升仙会跨服[8],16天,2023-11-09,2023-11-09,2124,2124
